,job_title,company_name,location,date_posted,experience,currency,min_salary,max_salary,median_salary
49,Data Analyst (Apprenticeship Programme),,"Singapore, Battery Road",Posted 17 days ago,,USD,20400.0,24000.0,22200.0
50,#SGUNITED JOBS Data Analyst,PU TIEN SERVICES PTE. LTD.,Singapore,Posted 17 days ago,,USD,60000.0,108000.0,84000.0
51,Data Analyst (Proficient in German Language),Razer (Asia-Pacific) Pte Ltd,Singapore,Posted 17 days ago,,USD,72000.0,96000.0,84000.0
52,Data Analyst (Healthcare Sector) - #SM,HAYS SPECIALIST RECRUITMENT PTE. LTD.,Singapore,Posted 17 days ago,,USD,57600.0,69600.0,63600.0
53,"Temp Data Analyst Executive, Population Health Management (3 months) #HMS",MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Singapore,Posted 17 days ago,,USD,44400.0,50400.0,47400.0
54,Senior Actuarial Data Analyst,GIORDANO ORIGINALS (SINGAPORE) PRIVATE LIMITED,"Singapore, Cross Street",Posted 17 days ago,,USD,60000.0,108000.0,84000.0
55,Functional Data Analyst (Shipping Logistic BG),SMARTKARMA INNOVATIONS PTE. LTD.,"Orchard Road, Singapore",Posted 17 days ago,,USD,63600.0,68400.0,66000.0
56,Data Analyst Intern,ITCAN PTE. LIMITED,Singapore,Posted 14 days ago,1,,,,
57,Data Analyst,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Singapore,Posted 17 days ago,,USD,63600.0,78000.0,70800.0
58,3 months contract to perm healthcare data analyst #HYS,TALENTS@WORK PTE. LTD.,"Orchard Road, Singapore",Posted 17 days ago,1,USD,42000.0,50400.0,46200.0
59,"Data Analyst, Private Bank",RECRUIT EXPRESS PTE LTD,"Singapore, Raffles Link / Raffles Place",Posted 17 days ago,,USD,48000.0,72000.0,60000.0
60,Data Analyst (1 year contract),MUNICH MANAGEMENT PTE. LTD.,Singapore,Posted 17 days ago,,USD,44400.0,48000.0,46200.0
61,Data Analyst,RECRUIT EXPRESS PTE LTD,"Singapore, Henderson Road",Posted 17 days ago,,USD,54000.0,84000.0,69000.0
62,Data Analyst (QlikSense),Razer Inc.,Singapore,Posted 17 days ago,,USD,54000.0,62400.0,58200.0
63,"Data Analyst, AI & Data, Technology Consulting",ONE CONSULTING (GLOBAL) PTE. LTD.,Singapore,Posted 17 days ago,,USD,57600.0,84000.0,70800.0
