job_title,company_name,location,salary,skills,date_posted
Business Data Analyst,NETWORK GUARD PTE. LTD.,"Singapore, Thomson","7 - 10 Years
•
USD 72,000 - 96,000 per month","data analysis tools
reporting tool integration
data warehousing principles
Power Bi
Tableau
Excel
Sql",Posted 17 days ago
Business Data Analyst (JD#9846),PERSOLKELLY SINGAPORE PTE. LTD.,Singapore,"3 - 5 Years
•
USD 60,000 - 78,000 per month","Sql
Python",Posted 17 days ago
Business Data Analyst (JD#9879),UPPER SPRING CONSULTING PTE. LTD.,Singapore,"3 - 5 Years
•
USD 66,000 - 78,000 per month","Data Quality
Data Profiling
Data Governance
Sql
Python",Posted 17 days ago
Data Analyst - Data Science and Advanced Analytics Team (9 Months Contract),HAYS SPECIALIST RECRUITMENT PTE. LTD.,Singapore,"1 - 3 Years
•
USD 42,000 - 84,000 per month","Analytical SQL Functions
Data Visualization Tools
Pandas
Power Bi
Tableau
Sql
Python",Posted 17 days ago
"15 Months Data Analyst (ETL, SQL) #EEF",GMP TECHNOLOGIES (S) PTE LTD,"Orchard Road, Singapore","3 - 6 Years
•
USD 72,000 - 84,000 per month","Apis
Power Bi
Excel
Sql
Etl",Posted 17 days ago
Data Analyst,SINGAPORE INTERNATIONAL ARBITRATION CENTRE,Singapore,2 - 4 Years,"Tableau
Python
Sql",Posted 16 days ago
Data Analyst (Metadata),SCIENTE INTERNATIONAL PTE. LTD.,Singapore,,"metadata
Data Analyst
Data Governance",Posted a month ago
Business Data Analyst,THOMSON MEDICAL PTE. LTD.,Singapore,,"Business Data Analyst
Excel Macro
Python",Posted a month ago
TikTok Shop - Senior Data Analyst（Product Analyst),WECRUIT PTE. LTD.,Singapore,3 - 5 Years,"R
Sql
Python",Posted 22 days ago
"Data Analyst, Digital Manufacturing",EPS COMPUTER SYSTEMS PTE LTD,"Singapore, Woodlands",1 - 3 Years,"Robotics
Autonomous Systems
digital manufacturing
Automations
Ai
Engineering Principles
Project Management Tools
Ml
Iot",Posted 21 days ago
"VP, Data Analyst, T&O Data Chapter, Group Transformation",LYNEER CORP (SINGAPORE) PTE. LTD.,Singapore,10 - 12 Years,"Qlikview
Tableau
Python
Sql",Posted 28 days ago
Product Data Analyst,ESGPEDIA PTE. LTD.,Singapore,3 - 5 Years,"analytics support
experimentation frameworks
Data Strategy
Data Analytics
Predictive Analytics",Posted 24 days ago
Actuarial Data Analyst,RECRUIT EXPRESS PTE LTD,Singapore,Fresher,"Power Bi
Vba
Excel
Sql
Python",Posted 23 days ago
"Associate/AVP, Data Business Analyst, Data Strategy Group (JR16162)",RECRUIT EXPRESS PTE LTD,"Singapore, Robinson",5 - 7 Years,"Business Analysis
snowflake
Denodo
Data Management
Tableau
Data Analytics
Informatica
Oracle
Python",Posted 2 days ago
Consumer Insights and Analytics (Data Analytics) Analyst,,"Singapore, Bendemeer",Fresher,"Powerpoint
Data Analysis
Microsoft Office Suite
Power Bi
Excel
Python
Sql",Posted 2 days ago
"Associate/AVP, Data Business Analyst (Data Research Advisory), Data Strategy Group (JR16176)",RECRUIT EXPRESS PTE LTD,"Singapore, Robinson",5 - 7 Years,"Business Analysis
Data Management
Data Analytics
Python",Posted 2 days ago
Data Science Analyst,SHARKNINJA APAC HOLDING PTE. LTD.,Singapore,Fresher,"econometrics techniques
R
data science techniques
Stata
Python",Posted 8 days ago
Data Analyst (Digital Transformation),SCIENTE INTERNATIONAL PTE. LTD.,Singapore,2 - 4 Years,"Microsoft Power Platform
Sharepoint
cloud platforms
MS SQL
Powerbi
Knime
Python",Posted a month ago
Data Governance Analyst,SCIENTE INTERNATIONAL PTE. LTD.,"Orchard Road, Singapore","4 - 6 Years
•
USD 84,000 - 90,000 per month","Data exploitation
Data Strategy
Regulatory Requirements
data sharing
Data Management",Posted 17 days ago
Enterprise Data Governance Analyst,BANK OF SINGAPORE LIMITED,Singapore,"4 - 8 Years
•
USD 84,000 - 108,000 per month","Stakeholder Engagement
Data Governance Framework Development
Data Quality Management
Regulatory Compliance
Tools and techniques of data governance
Risk Management",Posted 17 days ago
"Data Analyst - Marketing Analytics, Regional Brand & Growth Marketing",RECRUIT EXPRESS PTE LTD,Singapore,Fresher,"Hadoop
Vba
Spark
Sql
Python",Posted a month ago
Data Analyst,StarHub,"Singapore, Boon Lay, Jalan Boon Lay","1 - 3 Years
•
USD 60,000 - 72,000 per month","R
Microstrategy
Oracle Db
Power Bi
PostgreSQL
Mssql
Python",Posted a month ago
Data Analyst - JK,Elliott Moss Consulting Pte Ltd,Singapore,"Fresher
•
USD 48,000 - 52,800 per month","Bloomberg
API data
Powerbi
Tableau",Posted a month ago
Data Analyst,Elliott Moss Consulting Pte Ltd,Singapore,3 - 5 Years,"R
Looker
ETL pipelines
Power Bi
MySQL
Data Warehouse Architecture
Tableau
Python
Google Cloud
Sql
AWS",Posted a month ago
Lead Data Analyst (International Centre for Aviation Innovation),TikTok,Singapore,Fresher,"Advanced Excel functions
Python coding
Data cleansing and normalization
Power Bi
Data Visualization
Data Architecture
Sql Programming
Tableau
Data Analytics",Posted a month ago
Data Analyst - Fintech Company,GlobalFoundries,Singapore,Fresher,"data protection regulations
data visualization tools
Data Governance",Posted a month ago
"Sr Data Analyst , Information Analytics Services",DBS Bank,Singapore,5 - 7 Years,"R
Statistical Modeling
Deep Learning
Java
Machine Learning
Hadoop
Spark
Python
HTML",Posted a month ago
Data Analyst Intern,Crypto.com,Singapore,Fresher,"ChatGPT
Amazon Q
dbt
AI technologies
Apache Superset
Redshift
Sql",Posted a month ago
"Asset and Wealth Management, Operations - Public, Data Analytics, Analyst/Associate, Singapore",Munich Re,Singapore,2 - 4 Years,"Scikit-Learn
R
Xceptor
Unqork
Business Intelligence
Alteryx
Artificial Intelligence
Ms Sql Server
Tableau
Nltk
Pandas
Elasticsearch
Qlik
Data Visualization
Python
Appian",Posted 17 days ago
"Sr Data Analyst, Information Management Systems",GIC PRIVATE LIMITED,Singapore,2 - 4 Years,"Shiny
R
Sharepoint
Java
Sql
HTML
Django
Visual Basic
Flask
Xml
Excel
Python",Posted a month ago
Data Analyst (Internship),ASIAONE ONLINE PTE. LTD.,Singapore,Fresher,"Sql
Python",Posted a month ago
Junior Data Analyst,,Singapore,Fresher,"Power Bi
Tableau
Excel
Python
Sql",Posted a month ago
Data Analyst,SHARKNINJA APAC HOLDING PTE. LTD.,Singapore,2 - 4 Years,"data analysis automation
Power Bi
Pl Sql
Excel
Mssql
Sql",Posted a month ago
"Data Analyst, Data Centre",GIC PRIVATE LIMITED,Singapore,Fresher,"Data evaluation
Data visualization tools
Analytics skills
Data Visualization
Excel
Sql",Posted a month ago
Data Analyst,Synapxe,"Shenton Way, Singapore","5 - 8 Years
•
USD 78,000 - 102,000 per month","Analytical Skills
Pipelines
metadata
Business Intelligence
data engineering
Data Management
Uat
Tableau
Informatica
Data Integration
Sql
Databases
Javascript
Data Visualization
Data Analytics
Python",Posted a month ago
"Data/Research Analyst (1 yr contract, up to $7k)",GMP Technologies,Singapore,"3 - 5 Years
•
USD 72,000 - 84,000 per month","Technical operations capacity
Querying databases with SQL
Data manipulation using Excel
Digital rights management products",Posted 17 days ago
Data Analyst - AI Innovation Business,RECRUIT EXPRESS PTE LTD,Singapore,3 - 5 Years,"Machine Learning
data mining
Sql
Python",Posted a month ago
Senior/ Data Analyst (Data Analytics) (Contract),PRUDENTIAL ASSURANCE COMPANY SINGAPORE (PTE) LIMITED,Singapore,"2 - 5 Years
•
USD 48,000 - 72,000 per month","R
Plotly
statistical software
Scikit-Learn
Numpy
Scipy
Pandas
Tableau
Python
AWS",Posted a month ago
Data Analyst - Buyer & Marketing (2025 Fresh Graduates),Shopee,Singapore,Fresher,"Druid
Google Data Studio
data access tools
Lumos
statistical methods
Time Series Analysis",Posted a month ago
Data Analyst (JD#9757),ST ENGINEERING LAND MRO & SERVICES PTE. LTD.,Singapore,"1 - 3 Years
•
USD 42,000 - 54,000 per month","Big Data platforms
R
Metadata tools
Bi Tools
Power Bi
Microsoft Office
Tableau
Data Warehousing
Sql
Python",Posted a month ago
Data Analyst - Contract,PASONA SINGAPORE PTE. LTD.,Singapore,1 - 3 Years,"Power Bi
Tableau
Excel
Python
Sql",Posted a month ago
Data Analyst,OSL,Singapore,Fresher,"R
Looker Studio
statistical methods
Power Bi
Tableau
Sql
Python",Posted a month ago
Regional Operations Data Analyst,Civil Aviation Authority of Singapore,Singapore,1 - 4 Years,"R
Power Bi
Tableau
Sql
Python",Posted a month ago
"Data Analyst - Business Intelligence, Regional Operations",Empower Partners Singapore,Singapore,Fresher,"Looker
Hive
Hadoop
Spark
Etl Tools
Tableau
Sql
Python",Posted a month ago
Regional Marketplace Operations Data Analyst,Tan Tock Seng Hospital,Singapore,Fresher,"Data Analysis
Data Management
Python
Sql",Posted a month ago
Data Business Analyst,Razer Inc.,Singapore,"5 - 8 Years
•
USD 102,000 - 144,000 per month","Crystal Reports
Dataiku
snowflake
Fix Protocol
PowerShell
Power Platform
Tableau
Autosys
UNIX
Sql
Appdynamics
Shell
Linux
Perl
Vba
Splunk
Excel
Python",Posted 17 days ago
Data Analyst - Regional Operations,Goldman Sachs,Singapore,1 - 5 Years,"Power Bi
Tableau
Python
Sql",Posted a month ago
Senior Data Analyst,Tan Tock Seng Hospital,Singapore,3 - 5 Years,"AWS cloud services
Python
Sql
Hadoop
Kafka
Spark",Posted a month ago
Actuarial Data Analyst,,Singapore,Fresher,"Actuarial knowledge
Data analysis automation
Power Bi
Data Visualization
Vba
Data Transformation
Data Analytics
Python
Sql",Posted a month ago
Senior Data Analyst,GIC PRIVATE LIMITED,Singapore,"3 - 5 Years
•
USD 45,600 - 62,400 per month","Business Intelligence
Tableau
Data Analytics
Sql
Python",Posted a month ago
Data Analyst,ShopBack,Singapore,"5 - 7 Years
•
USD 60,000 - 96,000 per month","Google Cloud Platform
Bi Reporting Tools",Posted a month ago
Data Analyst,Kpler,Singapore,"2 - 4 Years
•
USD 36,000 - 42,000 per month","R
Power Bi
Tableau
Microsoft Excel
Python
Sql",Posted a month ago
Data Analyst (JD#9795),JobAlly,Singapore,"2 - 4 Years
•
USD 48,000 - 66,000 per month","Project Management
Data Analysis
Data Management
Spark
Agile Development Methodologies
Data Governance
Python
Sql",Posted a month ago
Data Analyst,Singtel,"Singapore, Cecil Street","2 - 5 Years
•
USD 48,000 - 60,000 per month","Macros
Microsoft Excel",Posted a month ago
"12 Months Data Analyst, Raffles Place",LYNEER CORP (SINGAPORE) PTE. LTD.,Singapore,"5 - 7 Years
•
USD 36,000 - 42,000 per month","Alteryx
Vba
Microsoft Excel
Sql
Python",Posted a month ago
Data Analyst,PEOPLEBANK SINGAPORE PTE. LTD.,Singapore,"2 - 5 Years
•
USD 36,000 - 42,000 per month","R
Power Bi
Tableau
Microsoft Excel
Python
Sql",Posted a month ago
Data Analyst,ByteDance,Singapore,"4 - 6 Years
•
USD 54,000 - 84,000 per month","Power Bi
Tableau
Msbi
Azure
Sql
AWS",Posted a month ago
Data Analyst (JD#9784),NATIONAL UNIVERSITY HEALTH SERVICES GROUP PTE. LTD.,Singapore,"3 - 6 Years
•
USD 42,000 - 60,000 per month","CFT
R
Aml
Machine Learning
Powerbi
Qlik
Tableau
Sql",Posted a month ago
Data Analyst (JD#9823),Shopee,Singapore,"1 - 4 Years
•
USD 48,000 - 60,000 per month","Machine Learning
Powerbi
Qlik
Tableau
Python
Sql",Posted a month ago
"Senior Data Analyst, Data Management Unit (Healthcare Sector) - #SM",SCIENTE INTERNATIONAL PTE. LTD.,Singapore,"2 - 4 Years
•
USD 57,600 - 67,200 per month","OAS
R
MS Access
UiPath RPA
Ms Excel
Qlik Sense
Power Bi
Sql Query
SAS
Tableau
OBIEE
Qlikview
Python",Posted a month ago
Senior Data Analyst,ZENITH INFOTECH (S) PTE LTD.,"Shenton Way, Singapore","8 - 11 Years
•
USD 96,000 - 120,000 per month","Analytical Skills
Pipelines
metadata
Business Intelligence
data engineering
Data Management
Uat
Tableau
Informatica
Data Integration
Sql
Databases
Javascript
Data Visualization
Data Analytics
Python",Posted a month ago
Data Analyst (JD#9757),Mighty Bear Games,Singapore,"1 - 3 Years
•
USD 42,000 - 54,000 per month","Big Data platforms
R
Metadata tools
Bi Tools
Power Bi
Microsoft Office
Tableau
Data Warehousing
Sql
Python",Posted a month ago
Data Analyst - Contract,Shopee,Singapore,1 - 3 Years,"Power Bi
Tableau
Excel
Python
Sql",Posted a month ago
Data Analyst,Shopee,Singapore,Fresher,"R
Looker Studio
statistical methods
Power Bi
Tableau
Sql
Python",Posted a month ago
Data Analyst (Digital Transformation),Shopee,Singapore,2 - 4 Years,"Microsoft Power Platform
Sharepoint
cloud platforms
MS SQL
Powerbi
Knime
Python",Posted a month ago
Regional Operations Data Analyst,,Singapore,1 - 4 Years,"R
Power Bi
Tableau
Sql
Python",Posted a month ago
"Data Analyst - Business Intelligence, Regional Operations",ShopBack,Singapore,Fresher,"Looker
Hive
Hadoop
Spark
Etl Tools
Tableau
Sql
Python",Posted a month ago
Data Business Analyst,IKAS INTERNATIONAL (ASIA) PTE. LTD.,Singapore,"5 - 8 Years
•
USD 102,000 - 144,000 per month","Crystal Reports
Dataiku
snowflake
Fix Protocol
PowerShell
Power Platform
Tableau
Autosys
UNIX
Sql
Appdynamics
Shell
Linux
Perl
Vba
Splunk
Excel
Python",Posted 17 days ago
Actuarial Data Analyst,Shopee,Singapore,Fresher,"Actuarial knowledge
Data analysis automation
Power Bi
Data Visualization
Vba
Data Transformation
Data Analytics
Python
Sql",Posted a month ago
Data Analyst - JK,QCP,Singapore,"Fresher
•
USD 48,000 - 52,800 per month","Bloomberg
API data
Powerbi
Tableau",Posted a month ago
Data Analyst,Munich Re,"Eunos, Singapore","2 - 4 Years
•
USD 72,000 - 144,000 per month","data engineering
Unit Testing
Machine Learning Algorithms
Data Analytics
Python",Posted a month ago
"AVP, Senior Data Analyst, Data Governance (GDMO)",FINEXIS ADVISORY PTE. LTD.,Singapore,3 - 5 Years,"Compliance
Data Analysis
Treasury Products
process improvement
commercial banking products
Communication Skills
Data Management
Data Quality
Data Analytics
Data Governance",Posted a month ago
Strategy Data Analyst,ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,Singapore,"5 - 7 Years
•
USD 78,000 - 102,000 per month","Metabase
BigQuery
Tableau
Sql",Posted a month ago
Data Analyst,A-STAR TESTING & INSPECTION (S) PTE. LTD.,"Singapore, Tai Seng","5 - 7 Years
•
USD 54,000 - 78,000 per month","Data Automation
Segmentation Techniques
data models
Large Language Models
Power Bi
Data Mining
Xml
Sql
Etl
Database Design",Posted a month ago
Data Analyst,SCIENTE INTERNATIONAL PTE. LTD.,Singapore,"3 - 6 Years
•
USD 48,000 - 60,000 per month","segmentation techniques
AI applications
Looker Studios
Data Modelling
google sheets
PostgreSQL
data mining
Database Design
Hubspot
Sql",Posted a month ago
Data Analyst,INNOCELLENCE SYSTEMS PTE. LTD.,"Singapore, Kallang","3 - 5 Years
•
USD 42,000 - 66,000 per month","R
Pyspark
PowerShell
Apache Spark
Tableau
Sql
Git
Javascript
Powerbi
Zoho
Microsoft Excel
Python",Posted a month ago
Data Analyst,HUDSON RPO (SINGAPORE) PTE. LTD.,"Singapore, Raffles Link / Raffles Place","2 - 4 Years
•
USD 60,000 - 63,600 per month","De-identification
Shiny
Data Storage
Data anonymization
Ai
Re-identification
Statistical Modeling
R
Sharepoint
Java
Ml
HTML
Sql
Django
Visual Basic
Machine Learning
Xml
Flask
Excel
Python",Posted a month ago
Data Analyst - JO3125,A STAR TECHNICAL SERVICES PTE. LTD.,"Singapore, Raffles Link / Raffles Place","2 - 4 Years
•
USD 60,000 - 66,000 per month","Shiny
R
Sharepoint
Java
HTML
Sql
Django
Visual Basic
Flask
Xml
Excel
Python",Posted a month ago
Data Analyst,ANTER RECRUITMENT PTE. LTD.,Singapore,"3 - 5 Years
•
USD 48,000 - 60,000 per month","Word
Powerpoint
DFP
Project Management
adsense
Account Management
Data Analysis
Ad Operations
AdMob
Microsoft Office Suite
Sql
adx
Excel",Posted a month ago
Data Analyst,SCIENTE INTERNATIONAL PTE. LTD.,"Singapore, Toa Payoh","2 - 5 Years
•
USD 60,000 - 84,000 per month","Data Pipelines
Data Democratisation
Prescriptive Analytics
Business Intelligence
data engineering
Data Analytics",Posted a month ago
Data Analyst***,SCIENTE INTERNATIONAL PTE. LTD.,Singapore,"2 - 4 Years
•
USD 48,000 - 60,000 per month","IT policy
cybersecurity principles
Analytic tools
It Audit
Ms Power Bi
Power Automate
it risk management
Information Security
It Compliance",Posted a month ago
Lead Data Analyst,TALENTS@WORK PTE. LTD.,Singapore,8 - 10 Years,"R
Power Bi
Tableau
Python
Sql",Posted a month ago
Business & Data Analyst,,"Scotts Road, Singapore","3 - 5 Years
•
USD 54,000 - 84,000 per month","Basic to intermediate SQL knowledge
Advanced Python knowledge",Posted a month ago
Data Analyst,IKAS INTERNATIONAL (ASIA) PTE. LTD.,"Singapore, Tai Seng","5 - 7 Years
•
USD 54,000 - 78,000 per month","Data Automation
Segmentation Techniques
data models
Large Language Models
Power Bi
Data Mining
Xml
Sql
Etl
Database Design",Posted a month ago
Strategy Data Analyst,LYNEER CORP (SINGAPORE) PTE. LTD.,Singapore,"5 - 7 Years
•
USD 78,000 - 102,000 per month","Metabase
BigQuery
Tableau
Sql",Posted a month ago
Data Analyst,SCIENTE INTERNATIONAL PTE. LTD.,Singapore,"3 - 6 Years
•
USD 48,000 - 60,000 per month","segmentation techniques
AI applications
Looker Studios
Data Modelling
google sheets
PostgreSQL
data mining
Database Design
Hubspot
Sql",Posted a month ago
Data Analyst (JD#9784),ZENITH INFOTECH (S) PTE LTD.,Singapore,"3 - 6 Years
•
USD 42,000 - 60,000 per month","CFT
R
Aml
Machine Learning
Powerbi
Qlik
Tableau
Sql",Posted a month ago
Data Analyst (JD#9823),Mighty Bear Games,Singapore,"1 - 4 Years
•
USD 48,000 - 60,000 per month","Machine Learning
Powerbi
Qlik
Tableau
Python
Sql",Posted a month ago
"Senior Data Analyst, Data Management Unit (Healthcare Sector) - #SM",GMP Technologies,Singapore,"2 - 4 Years
•
USD 57,600 - 67,200 per month","OAS
R
MS Access
UiPath RPA
Ms Excel
Qlik Sense
Power Bi
Sql Query
SAS
Tableau
OBIEE
Qlikview
Python",Posted a month ago
Aug/Sept 2025 Data Analyst (HealthTech Associate Programme),Shopee,Singapore,Fresher,"R
Data Mining techniques
Pl Sql
Python
Sql",Posted a month ago
Associate Data Analyst,Shopee,Singapore,Fresher,"Powerbi
Tableau
Excel
Sql",Posted a month ago
Associate Data Analyst,IKAS INTERNATIONAL (ASIA) PTE. LTD.,Singapore,Fresher,"Powerbi
Tableau
Excel
Data Modelling
Sql
Python
ELT
Etl",Posted a month ago
"Associate Manager, Data Analyst",Munich Re,Singapore,5 - 7 Years,"Dimensional modelling
R
Alteryx
Power Bi
Azure Synapse analytics
Azure Databricks
Data Analytics
Azure Cloud
Azure Machine learning
Spark
Python
Azure Devops",Posted a month ago
Senior Data Analyst,PASONA SINGAPORE PTE. LTD.,Singapore,5 - 7 Years,"Big Query
Looker Studio
Google Docs
google sheets
Tableau",Posted a month ago
Data Analyst - Global Payment - Singapore,ACTIVATE INTERACTIVE PTE LTD,Singapore,5 - 7 Years,"Java
Golang
Hive
Spark
Sql",Posted a month ago
Data Analyst,OCBC,Singapore,Fresher,"Building statistical ML models
Statistical machine learning
Unit regression testing
Pyspark
Data Cleaning
Databricks
Sql
Python",Posted a month ago
Data Analyst,XFERS PTE. LTD.,Singapore,Fresher,"Precisely
data governance tools
Collibra
Excel
Informatica",Posted a month ago
TikTok Shop - Data Analyst Intern - 2025 Start,WILLIAMS-SONOMA SINGAPORE PTE. LTD.,Singapore,Fresher,"data statistics
Scripting Language
Excel
Python
Sql",Posted a month ago
E-commerce Data Analyst,90 SECONDS PTE. LTD.,Singapore,3 - 5 Years,"Data Analysis
R
data statistics
Python
Sql",Posted a month ago
"Data Analyst, Singapore",,Singapore,5 - 7 Years,"Hive
Hadoop
Sql",Posted a month ago
Aug/Sept 2025 Data Analyst (HealthTech Associate Programme),LYNEER CORP (SINGAPORE) PTE. LTD.,Singapore,Fresher,"R
Data Mining techniques
Pl Sql
Python
Sql",Posted a month ago
TikTok Shop - Data Analyst,PYLON.AI PTE. LTD.,Singapore,3 - 5 Years,"Modeling
R
ab testing
Optimization
advanced measurement
causal inference
Python
Sql",Posted a month ago
Data Analyst (BI&A) - SeaMoney Credit,CTES CONSULTING PTE. LTD.,Singapore,Fresher,"Business Intelligence
Analytics
data engineering
Data Analytics
Python
Sql",Posted a month ago
Data Analyst,CTES CONSULTING PTE. LTD.,Singapore,7 - 9 Years,"Statistical Knowledge
Data storytelling
Hadoop
Spark
Sql
Python",Posted a month ago
Senior/ Data Analyst (Data Engineering) (Contract),AD ASTRA CONSULTANTS PRIVATE LTD.,Singapore,2 - 5 Years,"RAG Retrieval-Augmented Generation tools
Plotly
Scikit-Learn
Dash
Scipy
SQL Server
Sql
Numpy
Django
Pandas
Docker
Restful Apis
Kubernetes
Python
AWS",Posted a month ago
Data Analyst Intern,SPH MEDIA LIMITED,Singapore,Fresher,"ChatGPT
Amazon Q
dbt
AI technologies
Apache Superset
Redshift
Sql",Posted a month ago
Data Analyst,ETHOS SEARCH ASSOCIATES PTE. LTD.,Singapore,2 - 5 Years,"Looker
Tableau
Google Analytics
Excel
Sql",Posted a month ago
Aug/Sept 2025 Data Analyst (HealthTech Associate Programme),Ubisoft,Singapore,Fresher,"R
Data Mining techniques
Pl Sql
Python
Sql",Posted a month ago
"Data Analyst, Singapore",SWAT MOBILITY PTE. LTD.,Singapore,5 - 7 Years,"Hive
Hadoop
Sql",Posted a month ago
Senior/ Data Analyst (Data Engineering) (Contract),WILLIAMS-SONOMA SINGAPORE PTE. LTD.,Singapore,"2 - 4 Years
•
USD 48,000 - 72,000 per month","RAG Retrieval-Augmented Generation tools
clinical AI design
system integration
Docker
SQL Server
Restful Apis
Kubernetes
Sql
AWS",Posted a month ago
Senior/ Data Analyst (Data Engineering) (Contract),XFERS PTE. LTD.,Singapore,2 - 5 Years,"RAG Retrieval-Augmented Generation tools
Plotly
Scikit-Learn
Dash
Scipy
SQL Server
Sql
Numpy
Django
Pandas
Docker
Restful Apis
Kubernetes
Python
AWS",Posted a month ago
Data Analyst (Contract),90 SECONDS PTE. LTD.,Singapore,1 - 3 Years,"R
Qlik Sense
Machine Learning
Hadoop
Artificial Intelligence
Power Bi
Tableau
Python
Sql",Posted a month ago
Data Analyst - AI Innovation Business,SCIENTE INTERNATIONAL PTE. LTD.,Singapore,3 - 5 Years,"Machine Learning
data mining
Sql
Python",Posted a month ago
Data Analyst ( Power BI SQL MDM ),SCIENTE INTERNATIONAL PTE. LTD.,"Singapore, Raffles Link / Raffles Place","2 - 4 Years
•
USD 60,000 - 72,000 per month","Data Quality
Data Management
Data Migration
Power Bi
Data Governance
Sql",Posted a month ago
Senior Data Analyst (Marketing),TALENTS@WORK PTE. LTD.,Singapore,5 - 7 Years,"Data Analysis
Powerbi
Sql",Posted a month ago
Data Analyst,Synapxe,Singapore,3 - 8 Years,"Data Mapping
Data Migration
Data Profiling
Itil",Posted a month ago
Senior Data Analyst,,"Shenton Way, Singapore","8 - 11 Years
•
USD 96,000 - 120,000 per month","Analytical Skills
Pipelines
metadata
Business Intelligence
data engineering
Data Management
Uat
Tableau
Informatica
Data Integration
Sql
Databases
Javascript
Data Visualization
Data Analytics
Python",Posted a month ago
Data Analyst,PYLON.AI PTE. LTD.,Singapore,2 - 4 Years,"machine learning techniques
Power Bi
Tableau
Etl Process
Python
Sql",Posted a month ago
Senior/ Data Analyst (Data Analytics) (Contract),Aon,Singapore,"2 - 5 Years
•
USD 48,000 - 72,000 per month","R
Plotly
statistical software
Scikit-Learn
Numpy
Scipy
Pandas
Tableau
Python
AWS",Posted a month ago
Data Analyst (Proficient in Hindi/Tamil Language),Aon,Singapore,Fresher,"Tableau
Python
Sql",Posted a month ago
Data Analyst (Proficient in Hindi/Tamil Language),KPMG Singapore,Singapore,Fresher,"data analysis tools
search and recommendations engines
large language models
Machine Learning
Tableau
Python
Sql",Posted a month ago
"Data Analyst (Tableau, R, Python, SQL, Power BI, Advanced Excel)",Sleek,"Singapore, Bukit Batok","1 - 4 Years
•
USD 42,000 - 60,000 per month","Macros
Power Bi
Tableau
Microsoft Excel
Sql
Python",Posted a month ago
Data Solution Operations - Analyst,ByteDance,Singapore,Fresher,"Data Analysis Tools
Visio
Jupyter Notebook
Microsoft Office Suite
Confluence
Alteryx
Collibra
Tableau
Excel
Python
Sql",Posted 2 days ago
IT Business Analyst (Data Analytics / Agile),Aon,Singapore,3 - 5 Years,"legacy system modernization
interactive visualisation dashboards
Design Thinking
application solution design
analytics architecture
feature engineering
Waterfall
Power Bi
Testing
Big Data Technologies
Service Design
Enterprise Architecture
Tableau
Data Manipulation
Data Cleansing
It Business Analysis
Agile
Etl Tools
Data Governance
cloud solutions
Python",Posted 2 days ago
"AIML - Data Operations Annotation Analyst, Vietnamese (12 months contract)",N2S.Global,Singapore,Fresher,"Analytical Skills
Experience in content review or a similar environment
Attention To Detail
Critical thinking skills
Ability to independently navigate systems and tools",Posted a day ago
"IT Application Analyst, Data & Process Analytics",TikTok,"Singapore, Bendemeer",5 - 7 Years,"Data Process Analytics Systems
Power Bi
Microsoft Azure
Data Modelling
Data Warehousing
Dax
Sql",Posted 2 days ago
IT Analyst (Data),TikTok,Singapore,5 - 7 Years,"Power Bi
Ansible
Tableau
SSIS
Mssql
Sql
Qliksense
Aws S3",Posted 2 days ago
IT Analyst (Data),TikTok,Singapore,5 - 7 Years,"Power Bi
Ansible
Tableau
SSIS
Mssql
Sql
Qliksense
Aws S3",Posted 2 days ago
Business Analyst - Data Conversion (NGEMR),Synapxe,"Singapore, North Buona Vista",10 - 13 Years,"Hl7
Sftp
Dicom
Sql",Posted 2 days ago
Demand Analyst (Data Scientist),TikTok,Singapore,4 - 7 Years,"R
Machine Learning
Google Cloud Platform
Microsoft Power Bi
Data Visualization
Big Data
Python
Sql",Posted 2 days ago
Data and Pricing Analyst,SeaMoney,Singapore,5 - 8 Years,"actuarial techniques
Pricing Models
technology implementation
Data Analytics
Data Transformation",Posted 2 days ago
IT Analyst (Data),Stripe,Singapore,5 - 7 Years,"Power Bi
Ansible
Tableau
Mssql
SSIS
Qliksense
Sql
Aws S3",Posted 2 days ago
Data Researcher/ Research Analyst,NATIONAL UNIVERSITY HEALTH SERVICES GROUP PTE. LTD.,"Singapore, Marina",1 - 3 Years,"Qualitative Research
Powerpoint
Microsoft Office
Excel",Posted 2 days ago
Technical Business Analyst - Data Engineering & AI (Investment Bank),,Singapore,8 - 11 Years,"AI Technologies
AI Frameworks
Business Analysis
data engineering
Data Modeling
Sql",Posted 2 days ago
"IT Business Intelligence Analyst, Data & Analytics",Aon,"Singapore, Tai Seng",3 - 5 Years,"Azure DevOps Services
Analysis Services
Statistical Techniques
Azure Repos
Power Bi
Data Warehouse
Power Query
Sql
Data Lake
Data Analytics
Dax
Etl",Posted 2 days ago
"[Temp for 7 months] Analyst (Data Office), SPR",Razer Inc.,Singapore,Fresher,"R
survey design
Data Cleaning
Microsoft Excel",Posted 10 days ago
"Intermediate Business Analyst, Data Solutions",foodpanda,"Singapore, Marina","2 - 4 Years
•
USD 84,000 - 132,000 per month","Data Analysis
Sybase
Tsql
Oracle
Sql",Posted 17 days ago
"IT Application Analyst, Data & Process Analytics",Synapxe,"Singapore, Bendemeer","5 - 7 Years
•
USD 72,000 - 108,000 per month","Sap Erp
Data Process Analytics Systems
SalesForce
Requirements Gathering
Microsoft Azure
Data Modelling
Data Warehousing
Dax
Sql",Posted 17 days ago
