job_title,company_name,location,salary,skills,date_posted
Senior Data Analyst,GMP TECHNOLOGIES (S) PTE LTD,"Singapore, Alexandra Road",4 - 6 Years,"Data Strategy
Martech
Analytics",Posted 2 days ago
Data Analyst (Machine Learning | Manufacturing | Perm),,Singapore,2 - 4 Years,"Microsoft Power Platform
Sharepoint
cloud platforms
MS SQL
Powerbi
Knime
Python",Posted 2 days ago
Business/Data Analyst (Python & Microsoft Fabric),NEARSOURCE PTE. LTD.,"Liang Seah Street, Singapore",3 - 6 Years,"Microsoft Fabric
Power Bi
Python",Posted 2 days ago
Data Analyst (Govt Healthcare) #SM,PU TIEN SERVICES PTE. LTD.,Singapore,2 - 5 Years,"logical data models
data dictionaries
Data Management
Reporting Tools",Posted 2 days ago
Data Analyst,TBWA SINGAPORE PTE LTD,"Singapore, Ubi",2 - 4 Years,"Tableau
Python
Sql",Posted 2 days ago
DATA ANALYST (CONTRACT),GMP TECHNOLOGIES (S) PTE LTD,"Singapore, Ubi",2 - 4 Years,"Data Analysis
R
Power Bi
Data Visualization
Tableau
Microsoft Excel
Sql
Python",Posted 2 days ago
Data Analyst,RAPSYS TECHNOLOGIES PTE. LTD.,"Singapore, International Business Park",1 - 3 Years,"Airflow
Plotly
Interactive visualisations
Dash
Dashboard frameworks
BigQuery
Text Mining
Sql
Nlp
Shell scripting
Etl Tools
Python",Posted 2 days ago
Data Analyst cum Business Analyst,TALENTS@WORK PTE. LTD.,Singapore,5 - 8 Years,"Microsoft Fabric
Power Bi
Python",Posted 2 days ago
Data Analyst (SAS/ SQL) - 12 months Contract,STARHUB LTD.,"Singapore, Raffles Link / Raffles Place",1 - 4 Years,"Data Analysis
reporting systems
Programming Knowledge
SAS
Sql",Posted 2 days ago
Data Analyst,THE FAMOUS AMOS CHOCOLATE CHIP COOKIE SINGAPORE PTE LTD,Singapore,4 - 7 Years,"Nosql
Power Bi
MySQL
SQL Server
Data Visualization
Sql",Posted 2 days ago
Data Analyst,JOBTECH PTE. LTD.,Singapore,5 - 8 Years,"investment data domain knowledge
Data Analysis
snowflake
documentation support
Quality Checks
Oracle Pl Sql
data reconciliation
Uat
Tableau",Posted 2 days ago
Junior Data Analyst (Visualization-Focused),OPENSOURCE TECHNOLOGIES PTE. LTD.,"Singapore, Bukit Merah, Jalan Bukit Merah",1 - 3 Years,"R
Power Bi
Tableau
Excel
Python
Sql",Posted 2 days ago
Data Analyst Intern,EVO OUTSOURCING SOLUTIONS PTE. LTD.,Singapore,Fresher,"AI tools
dbt
Apache Superset
Gcp
Redshift
Sql
AWS",Posted 12 days ago
Senior Data Analyst - Institutional Data,UNISON CONSULTING PTE. LTD.,Singapore,5 - 7 Years,"Statistical methods
Data visualization techniques
Business Intelligence Tools
Python",Posted 12 days ago
Data Analyst Intern,TECHNOPALS PTE. LTD.,Singapore,Fresher,"AI tools
dbt
Apache Superset
Gcp
Redshift
Sql
AWS",Posted 12 days ago
